AAPL,Date_AAPL,MSFT,Date_MSFT,GOOGL,Date_GOOGL,TSLA,Date_TSLA
149.16748046875,2021-11-03,326.19952392578125,2021-11-03,146.59800720214844,2021-11-03,404.6199951171875,2021-11-03
148.64559936523438,2021-11-04,328.58251953125,2021-11-04,148.2675018310547,2021-11-04,409.9700012207031,2021-11-04
149.1781005859375,2021-11-05,328.2113952636719,2021-11-05,148.8520050048828,2021-11-05,407.36334228515625,2021-11-05
148.34979248046875,2021-11-08,329.11968994140625,2021-11-08,149.031005859375,2021-11-08,387.64666748046875,2021-11-08
148.714599609375,2021-11-09,328.10400390625,2021-11-09,148.9185028076172,2021-11-09,341.1666564941406,2021-11-09
145.8647918701172,2021-11-10,323.0741882324219,2021-11-10,145.89349365234375,2021-11-10,355.98333740234375,2021-11-10
145.81544494628906,2021-11-11,324.66619873046875,2021-11-11,145.76649475097656,2021-11-11,354.5033264160156,2021-11-11
147.90599060058594,2021-11-12,328.8559265136719,2021-11-12,148.67799377441406,2021-11-12,344.47332763671875,2021-11-12
147.9158477783203,2021-11-15,328.22119140625,2021-11-15,148.45199584960938,2021-11-15,337.7966613769531,2021-11-15
148.90196228027344,2021-11-16,331.5808410644531,2021-11-16,147.87600708007812,2021-11-16,351.57666015625,2021-11-16
151.357421875,2021-11-17,331.80584716796875,2021-11-17,148.0469970703125,2021-11-17,363.0033264160156,2021-11-17
155.67652893066406,2021-11-18,333.9094543457031,2021-11-18,149.8385009765625,2021-11-18,365.4599914550781,2021-11-18
158.31927490234375,2021-11-19,335.7098388671875,2021-11-19,148.92649841308594,2021-11-19,379.0199890136719,2021-11-19
158.78277587890625,2021-11-22,332.50048828125,2021-11-22,146.302001953125,2021-11-22,385.6233215332031,2021-11-22
159.16732788085938,2021-11-23,330.3968811035156,2021-11-23,145.78199768066406,2021-11-23,369.6766662597656,2021-11-23
159.68997192382812,2021-11-24,330.6219482421875,2021-11-24,146.1199951171875,2021-11-24,372.0,2021-11-24
154.6312713623047,2021-11-26,322.5694885253906,2021-11-26,142.18299865722656,2021-11-26,360.6400146484375,2021-11-26
158.01361083984375,2021-11-29,329.36956787109375,2021-11-29,145.53050231933594,2021-11-29,378.9966735839844,2021-11-29
163.00328063964844,2021-11-30,323.4598083496094,2021-11-30,141.8975067138672,2021-11-30,381.586669921875,2021-11-30
162.4806671142578,2021-12-01,322.9608459472656,2021-12-01,141.05149841308594,2021-12-01,365.0,2021-12-01
161.4846954345703,2021-12-02,322.3835754394531,2021-12-02,142.96600341796875,2021-12-02,361.5333251953125,2021-12-02
